V080001,V085120,V085120a,V085121,V085121a,V085122,V085122a,V085123,V085123a
531, big wig ,1, vice president ,5, he runs the outhouses. ,1, /i neve heard of him ,1
532, ,1, i don't know//i don't know ,1, idon't know//i do know ,1, i don't know// don't know 1 ,1
533, speaker of the house ,1, vice president ,5, i dont know//no ,1, supreme court justice ,1
534, speaker of the house ,5, vice president ,1, first seat in congress ,1, second seat in congress ,5
535, speaker of the house. ,5, vice president ,5, no idea//the one obama selected as sec of state//if not i dont know ,5, no idea//have no guesss//no ,1
536, i dont know//no// ,1, i dont know ,5, i dont know ,5, i dont know ,5
537, i dont kno/no ,1, dont kno/no ,1, dont kno ,5, dont kno ,5
538, speaker of the house ,5, vice ,5, house of representatives ,5, /senate committee ,1
539, i do'nt know//i really don't know ,1, vice pres ,1, i do'nt know // I don't have 1 ,1, i know the name but don't know // I don't have a guess ,1
540, speaker of the house ,1, vice president ,5, i ndont know//no ,1, i dont know ,1
541, speaker of the house ,1, vice pres ,1, he is the prime min of eng ,1, conatur n ,1
542,,-2,,-2,,-2,,-2
543, dont know/i dont know/no/ ,1, i dont know/i dont know/no ,1, i dont know/i dont know/no ,1, i dont know/ i dont know/no ,1
544, i know her name the us house of rep ,1, sec of defles ,1,  s ,1, us house house of reps ,1
545, head of congress ,5, vice president ,5, newly elected staff for barack obama ,5, i dont know//no ,1
546, i have no idea//i have no idea i really don't know any of them ,1, i realy don't know any of there job ,1, i don't kn ow //i don't know ,1, i don't know // i still do n't know  ,1
547, i dont know//no ,1, vice president ,5, i dont know//in the senate or the house? ,1, i dont know//no ,5
548, //clerical worker ,1, //congress ,1, //house of representatives ,1, //congress ,1
549, i don't know her //realy do n't know ,1, vice pres ,1, i don't know who that is//i really wouldn't know what to say ,1, i n't know // a coossman ,1
550, //clueless//no ,1, foreighn affairs ,5, i dont know//clueless//no ,1, i dont know//no ,1
551, dont know/no ,1, vice president ,1, dont know/ ,1, dont know/no ,1
552, i have no idea//i have no clue//no ,1, vice president ,5, i have no idea//no ,1, i dont know//no ,5
553, i dont know//secretary of state ,1, vice president ,5, never heard of//i have know idea ,1, i dont know ,5
554, not familiar//no ,1, vice president ,5, not familiar with ,5, not familiar ,5
555, head of congress ,1, vice pres ,1, //financial advisor ,1, //idont know/no ,1
556," //i dont know, I dont know who she is/no ",1," i have no clue, chamber of commerce, i dont know ",1, i dont even know who he is. ,5, i dont know who he is either. ,5
557, forget//in congress//forget ,1, vice president ,5, dont know//i have no idea//no ,1, i cant remember//i dont know//no ,1
558,  republican/no ,1,  democrat/no ,1,  representative/no ,1,  republican/no ,1
559, i dont know//i dont even know the name//no ,1, vice president ,5, i dont know//i dont know who he his//no ,1, i dont know ,5
560,  i cant remember//no ,1, vice president ,5, i dont know// ,5, never heard of him// ,5
561, i dont know//no ,1, i dont know//no ,5, i dont know//no ,5, i dont know ,5
562, i don't know//i don't know ,1, i have no idea//i don'tknow ,1, i have npo idea // i have no idea ,1, i have no idea // i have no idea ,1
563, dont know//no ,1, dont know//no ,1, dont know ,5, never heard of him ,5
564, // sen it mahaority leaedrer ,1, vice pres ,1, i don't know//he is a adviewer not wicth way  ,1, i ;m not sure the sure addveas ,1
565, mouth piece in the house ,1, vice pres ,1, i don't know// idon't know  ,1, i never heard of him //  have no clue ,1
566, sec of something // is it the house / i don't i'm guess ,1, vice pres ,1, i don't have a clue // he holds a office some where ,1, who are the people where did you eople dig them up from ,1
567,,-2,,-2,,-2,,-2
568,  hold a conseaa seat ,1,  leam up vice pres  ,1, i 'm not sure // senaater ,1, i don't know// one of the pres hench man// one of the people he the pres apoints his sefe ,1
569, speaker of the house ,5, vice president ,5,  dont know//one of the cabinet people for obama ,5, i dont know//no ,1
570, speake of the house ,1, vice pres ,1, i do know//i don't know ,1, surprme court ,1
571, i don't know//state lawer ,1, vice pres ,1, i don't know//sec of state ,1, i don't know//rep of house ,1
572, speaker of the house ,5, vice president ,5, prime minister ,5, chief justice ,5
573, heand of the house of reps// she is the speaker of the house  ,1, vice pres  ,1, he is the sec of enconic affairs ,1, i do't know//trusure the head of the trursure ,1
574, speaker of the house ,1, ,1, i don';t know//i don't have a guess ,1, i think he is the surpress count chift of the court ,1
575, i've never heard of her//in the senit ,1, vice pres ,1, um idon't know // coneress ,1, i don't know// the senit ,1
576, speaker of the house ,1, vice pres ,1, i don;t know//leadin rep in the house ,1, i don't know// the us surprm conts j ,1
577, i don't know// speaker of the house ,1, vice pres ,1, i have no idea// sec of def ,1, i do'nt know// sec of state ,1
578, i don't know// I have no idea ,1, vice pres ,1, i do'nt know a\/ and have no guess ,1, i don't// know '// and no guess ,1
579, no idea//sunit ,1, vice pres ,1, no idea//houe of rep ,1, no idea // surpreess court ,1
580, no dont recognize ,1, running for president ,1, dont know afraid not best man for the position ,1, vice president ,1
581, no clue hear d the name ,1, vice president ,5, no doesnt ring a bell ,1, dont remembers ,1
582, know idea ,1, no ,1, no ,1, nope ,1
583, she is the democrat in congress speaker of the house// ,1,  vice president just remebered ,1, never heard of him //  ,1, nothin ,1
584, dont recognize ,1, know the name but cant place him ,1, nope ,1, not remembering ,1
585, heard of her speaker of the house ,1, vice president ,5, dont recognize that name ,1, dont recognizes s ,1
586, dont know her ,1, heard of it ,1, sounds failiar  ,1, no ,1
587, speaker of the house ,5, vice president ,5, heard the name but cnat recall him senator ? ,1, supreme court justice ,5
588, i dont knows ,1, dont know  ,1, never heard of hims ,1, dont know ,1
589, democrat spealker of the house has control of somthing ,1, vice president ,1, cant recognise ,1, nothing  ,1
590, not sure// na ,1, vice president ,5, don't know// u.s. cogress// military guy// first black general//na ,1, not sure/na ,1
591, idont knows ,1, remember bthe name  ,1, no ,1, no ,1
592, don't know of her//na ,1, carrying the shells//na // vice president//na ,1, don't know who is// ginny whie's old man//na ,1, don't know// na ,1
593, speaker of the house  over the senate ,1, vice president ,1, idont know ,1, supreme  court justice ,1
594,,-2,,-2,,-2,,-2
595, nope ,1, i know who dick caney is dont know what office ,1, nope ,1, no never hear of him never come down this far here to me ,1
596, speaker of the house ,5, vi ce president ,5, dont know ,1, dont know ,1
597, house speaker ,5, secrtary of defense//na ,5, prime minister of england//na ,5, know idea//na   ,1
598, mayor//na ,1, vice president ,5, senator ,5, senator ,5
599, speaker of the house ,5, vice president ,5, don't know// na ,1, chief justice of supreme court ,5
600, speaker of the house ,5, vice president ,5, prime minister of great britain ,5, supreme court justice ,5
601,,-2,,-2,,-2,,-2
602, press secretary ,1, vice president ,5, secretary of defense ,5, trasury ,5
603, speaker of the house ,5, vice president ,5, guessed the prime minister ,1, no dont recognise ,1
604, something high in government I don't know what it is//na ,1, don't know what his title is// vice president //na ,1, no idea who it is // sarcastic chief at whie house/ ,1, mail man// don't know//na ,1
605, no clue ,1, vice president ,1, never heard the name ,1, heard the name but ,1
606, speaker of the house ,5, vice president ,1, dont know the name  ,1, cant remember ,1
607, dk ,1, dk// dk//na ,1, ni dea//na ,1, no idea//na ,1
608, speaker of the house ,5, vice president ,5, replaced tony blair prime minister of great britain ,5, replaced tony blair prime minister of great britain ,1
609, speaker of the house ,5, vice president ,5, prime miinister of great britain ,5, //na ,1
610,,-2,,-2,,-2,,-2
611, dont know who she is ,1, vice president ,1, dont know ,1, dont know ,1
612,,-2,,-2,,-2,,-2
613, speaker of the house ,1, vice president ,5, prime minister of great britain ,5, dk ,1
614," DON'T KNOW THE NAME// SHE HAS AN IMPORTANT POLITICAL POSITION//SHE IS IN A REPRESENTATION DEMOCRAT AND SHE HAS BEEN RESENTED ABOUT HER RECENT JOB RECENTLY//NAME, DON'T KNOW//STOP ",1, VICE PRESIDENT ,5, DON'T KNOW//DON'T KNOW WHO HE IS//DON'T KNOW WHO HE IS//STOP ,1," I'VE HEARD OF HIM//I DON'T KNOW HIS POSITION, I KNOW THE NAME AND I KNOW I READ SOMETHING ABOUT WHAT HE DOES, I REMEMBER THE NAME BUT NOT HIS POSITION//WAS HE RUNNING FOR A POSITION?// I READ SOMETHING RECENTLY, BUT DON'T KNOW//STOP ",1
615, DON'T KNOW//SECRETARY ,1, VICE PRESIDENT ,5, SENATOR? ,5, SENATOR ,5
616, <RF> ,1, vice president ,1, <RF> ,1, <RF> ,1
617, dk ,1, vice president ,1, dk ,1, dk ,1
618, dk ,1, dont rem ,1, <RF> ,1, <RF> ,1
619,,-2,,-2,,-2,,-2
620,,-2,,-2,,-2,,-2
621,,-2,,-2,,-2,,-2
622, dont know ,1, vice prs ,1, <RF> ,1, <RF> ,1
623, governor of alaska ,1, don tknow ,1, dont know ,1, dont know ,1
624, SPEAKER OF THE HOUSE ,5, VICE PRESIDENT ,5, DON'T KNOW//REPRESENTATIVE OF THE HOUSE ,1, CHIEF JUSTICE OF THE SUPREME COURT ,5
625, I DON'T KNOW WHO SHE IS ,1, I DON'T KNOW ,1, I DON'T KNOW ,1, I DON'T KNOW ,1
626, PRESIDENT OF THE HOUSE OF REPRESENTATIVES ,1, VICE PRESIDENT ,1, PRESS SECRETARY ,1," DON'T KNOW, HEARD HIS NAME BUT DON'T KNOW//DON'T KNOW// STOP ",1
627, I DON'T KNOW//JUDGE//STOP ,1, VICE PRESIDNET ,5, I DON'T KNOW//MAYOR//STOP ,1, I DON'T KNOW//NO IDEA//MAYOR//STOP ,1
628,,-2,,-2,,-2,,-2
629, TOP OF THE HOUSE OF REPRESENTATIVES ,5, VICE PRESIDENT ,5, DON'T KNOW HIM//NO CLUE//I'M SORRY//STOP ,5, DON'T KNOW//SOUTH CAROLINA REPRESENTATIVE//STOP ,1
630, SPEAKER OF THE HOUSE ,5, VICE PRESIDENT ,5, DON'T KNOW//TREASURER ,1," DON'T KNOW//ENVIRONMENTAL, CABINET ",1
631, NO IDEA//DON'T KNOW WHAT TO SAY//I DON'T KNOW//STOP ,1, VICE PRESIDENT ,5," NO CLUE//NO IDEA//I DON'T KNOW, NO IDEA//STOP ",5, I DON'T KNOW//I DON'T KNOW//STOP ,1
632, PRESIDENT OF THE SENATE ,1, VICE PRESIDENT ,1, DON'T KNOW//SENATOR ,1, DON'T KNOW//CONGRESS ,1
633, DON'T KNOW//NO CLUE//STOP ,1, NO CLUE//I HAVE NO CLUE AT ALL//STOP ,1, NO CLUE//I HAVE NO GUESS ,1, NO CLUE//NO CLUE IN MY BEST GUESS//STOP ,1
634, SPEAKER OF THE HOUSE ,5, VICE PRESIDENT ,5, DON'T REMEMBER//DON'T KNOW//STOP ,1, I HEARD THE NAME//ATTORNEY GENERAL ,1
635,,-2,,-2,,-2,,-2
636, RIGHT NOW I DON'T KNOW BUT SHE WAS WORKING FOR THE OBAMA CAMPAIGN ,1, VICE PRESIDENT ,5, DON'T KNOW//SENATOR ,1, SENATOR? ,1
637, LEADER OF THE HOUSE OF REPRESENTATIVES ,5, DON'T KNOW//I DON'T KNOW ,1, DON'T KNOW WHO HE IS//I HAVE NO IDEA ,1," DON'T KNOW WHO HE IS//I DON'T KNOW, I HAVE NO IDEA ",1
638, PRESIDENT OF THE SENATE ,1, VICE PRESIDENT       ,5," DON'T KNOW//CONGRESS I THINK, SOMETHING FINANCE...  ",1, DON'T KNOW//CONGRESS ,1
639, I THINK SHE IS IN THE SENATE ,5, VICE PRESIDENT ,5," DON'T KNOW HIM//I DON'T KNOW WHO HE IS//I DON'T KNOW HIM//I DON'T KNOW//I HAVE NEVER HEARD OF HIM, DON'T KNOW HIM//STOP ",1, DON'T KNOW HIM//ONE MORE//DON'T KNOW WHO HE IS//STOP ,1
640, DON'T KNOW//SHE HAS AN IMPORTANT JOB IN GOVERNMENT ,1, SENATOR ,5, DON'T KNOW//SENATOR//STOP ,1, DON'T KNOW HIM//STOP ,1
641, senate ,1, vp ,5, congress ,5, congress ,5
642, something in congress ,1, vp ,5, senate ,1, congress ,1
643, no idea// no guess//na ,1, vice president ,5, don't know//no guess/ could be head of sanitation//na ,1, no idea//na ,1
644, judge ,1, vp ,5, senator ,1, senator ,1
645, head of house of representaives ,5, vp ,5,1,1, prime minister canada ,1
646, speaker of the house ,5, vp ,5,777,5, newscaster ,5
647,,-2,,-2,,-2,,-2
648, speaker of the house ,5, vp ,5, congressman ,1, senator ,5
649, senator ,1, vp ,5, congressman ,1, house of representatives ,1
650, don't know// house representative; not a senator/na ,1, vice president ,5, no clue// don't even waant to//na ,1, no clue// no//na ,1
651, common counselor ,1, vp ,5, no guess ,1, judge ,5
652, don't know// can't remember//na ,1, don't remember// didn't he run for president too/na ,1, do n't know // still on dick cheney// na ,1, don't know// nope on guessing//na ,1
653, in charge of the senate floor ,1, vp ,5, judge ,1, chief justice supreme court ,5
654, senate ,1, representative ,1, chief commissioner ,1, school superintendant ,1
655, do not know her ,1, vp ,5, don't know him ,5, don't know 1 ,5
656, speaker of the house ,5, vp ,5, prime minister england ,5, chief justice supreme court ,5
657, no idea// no// na ,1, don't remember// haven't heard i mentioned in a while// no// na ,1, don't know the name// na ,1, {shrugs} // not a big fan of guessing//na ,1
658, don't know secretary of something//na ,1, vice president ,5, never heard of him/ no//na ,1, heard name but don't know what he does//no//na ,1
659, house of representatives ,1, defense ,1, house of representaives ,1, congress ,1
660, sectetary of state ,1, vp ,5, treasury ,1, transportation ,1
661, school prinipal ,1, senate office ,1, car dealership ,1, tv preacher ,1
662, speaker of the house ,5, vice president ,5, prime minister of england ,5, drew a blank// seems familiar// we're all stumped ,1
663,,-2,,-2,,-2,,-2
664, speaker of the house ,5, vice president ,5, no idea // na ,1, don't know // na ,1
665, don't know// na ,1,2,5, don't kbnow// na ,1, don't know// na ,1
666, ive heard of her ,1, vice president ,1, heard oh him ,1, not sure ,1
667, she is in chargeof the house of representatives ,5, vice president ,5, have no idea ,1, cant remember running for president ,1
668, top democratic lady in congress speaker of the house ,1," he sits over congress nad votes if theirs a tie, vice president too ",5, foriegn affairs ,5, dont know ,1
669, no idea//no guess/na ,1, vice preident ,5, no idea who that is//doesn't even ring a bell//na ,1, absolutely no idea// heard of name// probrably secretary of something// na ,1
670, education s ,1, in the senate ,5, supreme court justices ,5, supreme court justice ,1
671, i have no idea ,1, dont know ,1, never heard of him ,1, nope ,1
672, never heard of her ,1, know the name ... ,1, have no idea ,1, dont know ,1
673, senate rankingsenator ,5, vice president ,5, have no idea ,1, i dont know ,1
674, speaches about the bail out today senator ,1, vice president ,5, dont know ,1, no ,1
675, head of the democrats in the senate ,5, vice president ,5,  prime minister of england ,1, nope ,1
676, speaker of the house ,5, vice president ,5, not sure british prime minister ,1, dont remember ,1
677,,-2,,-2,,-2,,-2
678, speaker of the house ,5, chair person of the senate ,5, dont know ,1, dont recognices ,1
679, speaker of the house ,5, vp ,1, educatoion ,1, attorney general ,5
680, speaker of the house ,5, vice president ,5, not familiar  ,1, nothin ,1
681, speaqker of the house ,5, vice president ,5, prime minister of britian ,5, chief justice supreme court ,5
682, never heard of her  ,1, vice president ,1, never heard of him ,1, never heard of him ,1
683," italian, dont know ",1, vice president ,5, escapes me  ,1, beyond me ,1
684, heard her name not sure ,1, vice president ,5, no idea ,5, dont recognize oh supreme court justices ,1
685," speaker of the house democrat, ",5, vice pres ,5, prime mininister ,1, head judge for the supreme court ,1
686, speaker of the house ,5, vice president ,5, dont remember ,1, senator ,1
687,,-2,,-2,,-2,,-2
688, She is the Speaker of the House ,5, Vice President ,5," I have no idea, no I don'[t know/////I have no idea, Gordon Brown ",1, He is on the Supreme Court ,5
689, Speaker of the House ,5, Vice President ,5, Don't know....Member of the Cabinet ,1," Supreme Court Justice, Chief Justice ",5
690, SENATOR ,1, VICE PRESIDENT ,5, CONGRESSMAN ,1, SENATOR ,1
691, I don't know///I don't know really ,1, The Vice President ,5, I don't know///I would gues I don't know ,1," I have no idea/////again, no idea ",1
692, I don't know\\\\don't have best guess ,1, Vice President ,5, Don't know\////no guess ,1," I know his name,\\\\no idea ",1
693, Speaker of the House ,5, Vice President ,5," He is one of the Secretaries, Homeland Security ",1," I don't know where to place him, Secretary of Agriculture ",1
694, Speaker of the House ,5, Vice President ,5, Not sure...///FBI Director ,1, Don't know..ibviously not done anything of importance ,1
695, I don't know what options....try Speaker of the House ,5, Vice President ,5, The Governor of something somewhere ,5, Senator ,1
696, Speaker of the House ,5, Vice President going out ,5," I want to say he is in one of the finance positions, but can not lock in on it! ",1," Don't have a clue, name does not ring a bell ",1
697, I have never heard of her. ,1, Vice President ,1, Foreign Affairs man ,5, No idea ,1
698, She is Secretary.....I know...Speaker of the House ,5, Vice President ,5," Don't know, don't have any best guess... ",1," Senate, I think! ",5
699, The Speaker of the House ,5, Vice President ,5," What is he?  All of a sudden, the name, I don't know....no idea ",1," John Roberts,/////maybe in congress or in the senate. ",1
700, Speaker of the House ,5, Vice President ,5, /////Somewhere in the cabinet of George Bush ,1, Supreme Court Justice ,5
701," Governor of Alaska, John's running mate ",5, Advisor to President ,5, Democrate and advisor to the president ,1, I don't know what office ,1
702, SPEAKER OF THE HOUSE ,5, VICE PRESIDENT ,5, DEPFENSE SECRETARY ,1, SENATOR FROM SOME STATE ,1
703, Secretary of State ,1, Vice President ,1, Security Officer ,1, Head of Foreign Affairs ,1
704, Head of House of Representatives Majority Leader from California ,5, Vice President ,5," Wanted to say he was Minority Leader, but don't know that./////I think he is the minority leader ",5, The Supreme Court Justice ,1
705, SPEAKER OF HOUSE  ,5, vice president ,5, can't place it// your best guess// i have no idea// no ,1, no idea// best guess// no guess ,1
706, she is speaker of the house\\ ,5, vice president ,5, \\he is perhaps a finance committe; i guess ,1, i really dont know// your best guess//  i dont know if he is head of FEMA ,1
707, secretary ,1, senator ,5, senator ,5, senator ,1
708, democrat// what is her job or title// I have not heard much of her// I forget what office she holds. I know she is in the Senate ,1, vice presidenth ,5, i don't know// your best guess// senate seat ,1, i don't know// your best guess// I would say a senate seat for him too ,1
709," don't know// what your best guess?/ hum, house of representative, i guess// ",1, government ,5, the state ,5, i will say the state ,5
710, governor ,5, vice president ,5, don't know ,1, never heard the name ,1
711, i am not for sure// your best guess// maybe she is in the senate// NO ,1, senate ,5, i am not for sure// your best guess// would be congress// NO ,1, i not sure// your best guess// senate// NO ,1
712, senator ,1, judge ,5, commissioner ,5, senator ,5
713, speaker of the house ,5, vice-president ,5, dont know him ,5, dont know him ,5
714, senator ,1, vice senator ,1, congress ,5, vice congress ,5
715, speaker of the house ,1, vice-president ,5, not sure ,1, not familiar ,1
716, i don't know// best guess/  I don't know //NO ,1, over the defense dept//NO ,5, i dont' know// best guess// don't know//NO ,1, i don't know// best guess/  I don't know//NO ,1
717,,-2,,-2,,-2,,-2
718, speaker of the house ,5, vice president ,5, i am not sure// your best guess// I have no earthly idea//NO ,1, does he have something to do with finanical// NO ,5
719,,-2,,-2,,-2,,-2
720, congressman ,5, congressman ,5, republican ,1, democratic ,5
721, speaker of house ,5, vice president ,1, don't know ,1, don' know him ,1
722, don't know ,1, don't know ,1, don't know ,1, don't know ,1
723,,-2,,-2,,-2,,-2
724, speaker of the house ,5, vice president ,5, i don't have a guess ,5, i have no idea ,5
725, house speaker ,5, vice-president ,5, not sure// what' your best guess//congress ,1, representive ,5
726,,-2,,-2,,-2,,-2
727, senate majority leader ,5, vice-president ,5, no clue ,1, no clue ,1
728,,-2,,-2,,-2,,-2
729, works in federal government finance ,1, senate member ,1, senate ,1, senate ,1
730,,-2,,-2,,-2,,-2
731, third in charge I know what she is but just just can't think of it  ,5, vice president ,5, dk/no idea ,1, dk// no iidea ,1
732, chairman of congress she persides over it ,1, vice president ,5, //dk// no idea// ,1, supream court I think ,5
733, speaker of the house ,5, vice president ,5, dk//no idea ,1, dk//I heard the name but..// ,1
734, dk// no idea ,1, dk//no idea ,1, dk/ no idea ,1, dk// no idea ,1
735, dk/ no idea have heard teh name but no idea what she does ,1, vice president ,5, don't know no idea ,1, //no idea ,1
736, //not a clue// ,1, aint' he the vice president? ,5, // no  ,1, //no guess ,1
737,,-2,,-2,,-2,,-2
738, she is a representive or senator ,5, vice president ,5, dk// no idea ,1, dk/ not a clue// no idea ,1
739, dk no idea ,1, vice president ,5, dk no idea ,1, dk no idea ,1
740, speaker of the house ,1, vice president ,5, //dk//no idea ,1, //dk// no idea ,1
741, // no idea // never heard of her before// no ,1, vice president ,1, dk// idk// is he a good man?// no ,1, dk// no idea I don't care about the 2nd man or 3 think man why shiuld I say something about someone Idk?// ,1
742, //she is something to gorge bush I just know the name // ,1, he is vice presdient ,5, dk// no clue// ,1, no clue// no idea ,1
743, the secretary of state ,5, vice president ,5, dk no idea ,1, dk// no idea ,1
744, dk/no idea// ,1, vice president// ,5, //dk//can't remember ,1, /dk/no idea// ,1
745,,-2,,-2,,-2,,-2
746, dk//no idea but the name is familar ,1, dk/ no idea ,1, dk/no idea ,1, dk/no idea ,1
747, dk no idea couldn't tell you ,1, vice president ,5, dk no idea ,1, dk no idea ,1
748, no idea dk// ,1, //vice president// ,5, //dk//no idea ,1, dk/no ideaq ,1
749, i don;t know ,1, vice pres ,1, i have no ideaer ,1, i don't know ,1
750, speaper of the house ,1, vice pres ,1, claler on canada ,1, chift justis of the sc ,1
751, i have no idea ,1, I don't know ,1, I do'nt know ,1, I don't know ,1
752,      don't know ,1, vice Pres ,1, I have no idea ,1, I don't know ,1
753,  i have no idea on him as well ,1, vice pres ,1, i don't know ,1, i don't know ,1
754, speaker of the house ,1, vice pres ,1, i don't know ,1, i don't know ,1
755,,-2,,-2,,-2,,-2
756, speaker of the house ,1, vice pres ,1, i have no idea//his is like the madie man for the white house //  ,1, he is a juge ,1
757, oh my god I know the name but I have no clue//stateman ,1, oh my god Idon't  know // he is in the cabainet  ,1, i don't even know who that is // cabanet ,1, i know I heard the name but i don't know that 1 ever //state ,1
758, speaker on the house of rep ,1, vice pres of the us ,1, i do'not know but i know that name  // aomething to do w/ the sen ,1, i do n't know// I really don't know  ,1
759, i don't know ,1, i don't know ,1, i don't know ,1, i don't know ,1
760, speaker of the house ,5, vice president ,5, dk no ideaa ,1, dk no idea ,1
761, i have no idea//is she a conacseeman ,1, oh that dude // he is the vice pres ,1, i don't know// i don't have 1 ,1, i don't know // why don't i know these peolpe // sensecet ,1
762, house skeaper i belive ,1, vice pres ,1, i don't know // and i don't have guess ,1, no guess// no  ,1
763, i have no idea//consee ,1, i don't know//i'm trying to think // vice pres ,1, i have no idea// i bum ,1, i don't know//cirse act ,1
764, //DONT KNOW; I DO NOT STUDY THOSE PEOPLE; I DO NOT LISTEN TO THAT TO KNOW// ,5, STATE SENATOR ,1, // I DONT KNOW// I DONT RECOGNIZE// YOUR BEST GUESS// I DONT KNOW ,1, I NEVER HAVE HEARD OF JOHN ROBERTS// I DONT KNOW ,1
765," she is the head of I, believe it is congress ",5, vice president ,5, i don't know; best guess; is he a supreme court justice ,1, i dont remember; i have to take a guess// white house office// ,5
766, I don't know who she is//no ,1, I can't remember//no ,1, I don't know//no ,1, I don't know//no ,1
767, the house speaker.// no ,5, vice president.//no ,5, in the cabinet.//no ,1, in the senate//no ,1
768, the veteran's affairs liaison ,5, vice president ,5, don't know//Congressman ,1, republican senate ,5
769, she is in congress//no ,1, vice president// ,5, state representive// ,5, state representive ,1
770, Lt. governor Alaska  ,5, secretary of State ,5," don't know//"" is he Black It's a Black man""  - don't know ",1, don't know//never heard of his name ,1
771,,-2,,-2,,-2,,-2
772, //I can't even tel you;I've heard her name ,1, I know the name but don't know what he does ;is he state rep ,5, Don't know//state representative ,1, don't know heard his name too//he does something for the house of representatives ,1
773,,-2,,-2,,-2,,-2
774, Don't know//I have no idea ,1, vice president ,5," not sure,//not sure ",1, not sure//not sure ,1
775, Haven't heard of her//really don't know ,1, republican vp ,5, don't know//don't know him  ,1, don't know//don't know ,1
776, speaker of the house//no ,1, vice president// ,5, white house press secatary// ,1, us senitor// ,5
777, DON'T KNOW//DON'T KNOW HER AT ALL ,1, don't know//don't know who ur talking about ,1, don't know any of the candidates running//don't know ,1, I don't know//don't know ,1
778, dON'T KNOW//DON'T KNOW ,1, FORGOT//i CAN'T THINK OF THAT ,1, dON'T KNOW HIM//DON'T KNOW HIM ,1, i DON'T KNOW HIM EITHER//don't know ,1
779, cdon't know//DK ,1, Don't know//DK ,1, Dont NO//DK ,1, Don't NO?/DK ,1
780, know name but not office//no ,1, senator//vice president ,1, don't know//DK ,1, Don't know//DK ,1
781, Don't know//speaks on behalf of veterans  ,1, vice president ,5, don't know//don't know ,1, DK//DK ,1
782, don't know//um don't know ,1, vice president ,5, I don't know. //Um governor ,1," don't know//I don't know, never heard of him. ",1
783, something with the economist;she was supposed to help get the economy back together ,5, over the army;the military ,5, Don't know//maybe military ,1, God. Don't know/don't know ,5
784, Democrat majority leader of the Senate ,5, Vice president ,5, don't know//maybe a cabinet member for the president ,1, don't know maybe a congressman ,5
785, gOVERNOR OF aLASKA ,5, I know the name but not office//can't think.Secretary of State ,1, heard that one too;Don't know//Secretary of defense ,1, UM secretary of defense. ,5
786, Speaker of the hOUSE ,5, Vice president ,5, don't know//borden's milk ,1, don't know//don't know ,1
787, don't know//Republican ,1, republican vice president ,5, don't know//no  ,1, don't know//no idea ,1
788, Speaker of the House ,5, Vice president ,5, Don't remember//Secretary of Education ,1, on Supreme Ct. ,5
789, DON'T KNOW//don't kmow ,1, vice president ,5, don't know//don't know ,1, don't know//don't know ,1
790, Congress a gustimate ,1, Don't know he stilol has a role . I know he's behind Bust & a Republican but I don't know what he does now. I think he's in the Senate ,5, Governmental. Is he even a person? I don't know if he holds a governmebt position ,1, not sure //governmental ,1
791, Don't know//DN ,1, Secretary. What does he do??//Secretary of Defense ,1, Don't know//Don't know ,1, Don't know//Don't know ,1
792, speaker of the HOUSE ,5, SUPPOSED TO BE VICE PRESIDENT BUT HE'S REALLY THE PRESIDENT ,5, democrat. ONE OF THE NEW PEOPLE ON bARACK'S TRANSITION TEAM ,1, Supreme court ,5
793, don't kow//person in the house ,1, in the senate ,5, not sure//congressman ,1, don't know//a member of the house ,1
794,,-2,,-2,,-2,,-2
795, Speaker of the House of Representatives.// ,5, Vice President.// ,5, Don't know./No best guess./Probably a big shot up there.// ,1, Supreme Court Judge.// ,5
796,,-2,,-2,,-2,,-2
797, Don't know./don't know.// ,1, Don't know./Vice President of the United States.// ,1, Don't know./no guess.// ,1, Don't know./no guess.// ,1
798, Don't know./I have no idea.// ,1," Can't think, don't know./I know the name, but can't think of the office right now.// ",1, Don't know./No best guess.// ,1, Don't know./I have no idea.// ,1
799, Don't know./No guess.// ,1," Don't know./I have no idea, but have heard his name a lot.// ",1, Don't know./No guess.// ,1, Don't know./Don't know.// ,1
800, I know the name./I don't know what office.// ,1, I can't remember./no guesses.// ,1, No idea./Not even familiar with then name.// ,1, Don't know./no guess.// ,1
801, Don't know/No guess.// ,1, Vice President.// ,5, Treasurer.// ,5, Not sure/No guess.// ,1
802, Don't know./Democrat-Secretary of State.// ,1, Vice President.// ,5, I don't know./Head of FBI.// ,1, I have no idea./Homeland Security.// ,1
803, No idea/Secretary.// ,1, Butler.// ,5, No idea/Dogcatcher.// ,1, No idea/Dean of school board.// ,1
804, I have no idea./No best guess.// ,1," I don't know which office, but I've heard his name./No guess.// ",1, I haven't heard his name./no guess.// ,1, I have no idea - haven't heard his name./no guess - congress?// ,1
805, Don't know./No guess.// ,1, Not sure./Republican Senator.// ,1, Not sure./Democrat in Senate.// ,1, Not sure./Republican Senator.// ,1
806, Main one - Speaker of the House.// ,5, Vice President of the United States.// ,1, Don't recognize that name./no guesses.// ,1, Supreme Court.// ,5
807, Speaker of the House.// ,5, Vice President of the United States.// ,5, No idea./No guesses.// ,1, No idea./no guess.// ,1
808, congress/ ,5, vice presidwnt/ ,5, no clue/ ,5, no clue ,5
809, Speaker of the House.// ,5, Vice President of the United States.// ,5, Don't know./I really don't have a guess; the name doesn't ring a bell.// ,1, Attorney General.// ,5
